date,syria,siria,syrie(n),سوريا,сирия,suriye,シリア
09/07/2013,193403,77287,21480,61508,33060,18217,27268
09/06/2013,226593,115543,18870,78641,30801,26029,21092
09/05/2013,339689,129087,21419,84707,31806,27486,26489
09/04/2013,316369,119670,20265,72545,29697,25044,29920
09/03/2013,396287,135459,24973,96968,35388,35901,30320
09/02/2013,322256,115876,23821,85214,70308,22329,30760
09/01/2013,252743,132293,24425,88647,63520,25503,33262
08/31/2013,307816,137186,24392,108186,43489,26894,35291
08/30/2013,410025,178377,28396,143537,32255,36813,54212
08/29/2013,424871,152182,27083,158988,34159,43834,50393
08/28/2013,353640,148338,29667,179655,38096,54228,75763
08/27/2013,472137,195257,34084,229691,36338,83857,87691
08/26/2013,354506,109913,33256,249663,31763,102211,58342
08/25/2013,167742,62671,14891,132860,27878,51989,15697
08/24/2013,88984,40804,8625,108932,11852,23030,9731
08/23/2013,94798,45092,10233,146249,6750,29316,7002
08/22/2013,78991,36004,8669,191285,4980,38318,7417
08/21/2013,97208,43583,11809,324514,4508,60728,14082
08/20/2013,79134,25958,7738,422050,5349,59436,16067
08/19/2013,16364,2161,1192,40218,990,10096,2020
08/18/2013,15501,3308,1600,48171,1783,9852,1866
08/17/2013,18729,3689,1975,48837,1858,11185,1763
08/16/2013,16563,2262,1474,62371,1497,13659,1730
08/15/2013,21585,3477,1632,72883,1465,13433,1636
08/14/2013,23524,4094,2113,58263,2990,12206,1786
08/13/2013,17513,1677,1383,75014,874,13608,1318
08/12/2013,12475,1992,982,38988,968,4244,931
08/11/2013,9501,1980,1644,34863,826,3950,875
08/10/2013,10383,1655,1153,35654,1199,5657,1049
08/09/2013,12657,2798,1342,40308,1783,5585,1460
08/08/2013,12277,2991,1309,43518,2339,5589,1073
08/07/2013,18342,4085,2018,49818,2231,5081,977
08/06/2013,17829,2654,2269,70728,1660,4255,1241
