"year","country","gdppc","doctors"
1983,"ALBANIA",942.6323,0.9305849
1990,"ALBANIA",840.6483,1.37599
1991,"ALBANIA",606.1732,1.470247
1992,"ALBANIA",571.6766,1.650233
1993,"ALBANIA",635.3894,1.771626
1994,"ALBANIA",686.8496,1.318681
1995,"ALBANIA",768.6478,1.408682
1965,"ALGERIA",1086.527,0.1164137
1970,"ALGERIA",1284.363,0.1235268
1979,"ALGERIA",1728.35,0.3800908
1984,"ALGERIA",1816.374,0.4270892
1988,"ALGERIA",1662.984,0.4287517
1990,"ALGERIA",1636.049,0.9416114
1993,"ALGERIA",1494.353,0.821001
1998,"ALGERIA",1541.801,1
1999,"ALGERIA",1569.123,0.7866778
1984,"ANGOLA",672.5095,0.0616706
1990,"ANGOLA",690.2302,0.0421452
1990,"ANTIGUA",6980.103,0.765625
1991,"ANTIGUA",7096.744,0.9185739
1993,"ANTIGUA",7487.911,3.029366
1995,"ANTIGUA",7572.989,0.7671065
1996,"ANTIGUA",7944.89,1.141032
1960,"ARGENTINA",5423.197,1.350698
1965,"ARGENTINA",6047.552,1.666652
1970,"ARGENTINA",6829.852,1.892163
1975,"ARGENTINA",7317.662,1.869285
1984,"ARGENTINA",6980.083,2.683262
1985,"ARGENTINA",6354.047,2.705032
1986,"ARGENTINA",6753.115,2.984408
1988,"ARGENTINA",6579.006,3.032035
1990,"ARGENTINA",5781.857,2.679989
1995,"ARGENTINA",7429.334,2.679993
1991,"ARMENIA",1335.588,3.703212
1992,"ARMENIA",762.2769,3.596582
1993,"ARMENIA",686.5583,3.344855
1994,"ARMENIA",720.5435,3.121131
1995,"ARMENIA",767.7394,3.041755
1960,"AUSTRALIA",9887.246,1.326715
1965,"AUSTRALIA",11285.98,1.388918
1970,"AUSTRALIA",13636.13,1.199328
1980,"AUSTRALIA",15950.41,1.789409
1981,"AUSTRALIA",16275.2,1.909292
1986,"AUSTRALIA",17493.03,2.285497
1991,"AUSTRALIA",18476.55,2.200011
1993,"AUSTRALIA",19518.67,2.400011
1994,"AUSTRALIA",20190.11,2.400011
1995,"AUSTRALIA",20852.01,2.500028
1996,"AUSTRALIA",21347.1,2.5
1997,"AUSTRALIA",22088.91,2.500027
1960,"AUSTRIA",10675.25,1.828888
1965,"AUSTRIA",12695.11,1.388835
1970,"AUSTRIA",16052.71,1.842445
1981,"AUSTRIA",22466.11,2.270588
1982,"AUSTRIA",22867.49,2.294956
1985,"AUSTRIA",24176.67,2.574586
1990,"AUSTRIA",27660.18,2.20006
1991,"AUSTRIA",28241.03,2.300055
1992,"AUSTRIA",28310.58,2.399955
1993,"AUSTRIA",28181.16,2.39995
1994,"AUSTRIA",28757.11,2.600062
1995,"AUSTRIA",29277.61,2.700012
1996,"AUSTRIA",29813.23,2.799975
1997,"AUSTRIA",30118.33,2.89996
1998,"AUSTRIA",30962.07,3
1991,"AZERBAIJAN",1082.103,3.81103
1992,"AZERBAIJAN",690.6594,3.782173
1993,"AZERBAIJAN",599.7432,3.829753
1994,"AZERBAIJAN",431.9506,3.802422
1995,"AZERBAIJAN",376.6179,3.836044
1996,"AZERBAIJAN",377.6806,3.797887
1980,"BAHAMAS",12215.26,0.9380952
1984,"BAHAMAS",12832.46,0.9432315
1990,"BAHAMAS",13359.58,1.29007
1993,"BAHAMAS",12436.35,1.445693
1995,"BAHAMAS",12075.54,1.489209
1996,"BAHAMAS",12352.34,1.475352
1998,"BAHAMAS",12695.74,1.122449
1980,"BAHRAIN",12021.74,1.086826
1985,"BAHRAIN",8797.366,1.218824
1991,"BAHRAIN",8849.583,1.314961
1993,"BAHRAIN",9769.286,0.1098696
1997,"BAHRAIN",9403.396,1.4
1980,"BANGLADESH",221.9136,0.1187082
